date,n_avail,win_sec,imb,path_eff,srun,mvol,dur_cv,lvl_act,sh_path,sh_srun,sh_mvol,sh_lvl,nan_reason
2012-11-16,25712,2245.819,-0.098221,0.067669,0.002668,0.032844,1.79265,0.097667,0.300542,0.081081,0.439754,0.169637,
2012-11-20,19484,2202.235,-0.041211,0.039641,-0.000667,0.037908,2.019752,0.470333,0.237971,0.055556,0.300643,0.623193,
2012-11-23,8278,8808.26,0.021854,0.032435,-0.000333,0.028331,2.169984,0.187,0.143434,0.006944,0.094023,0.195203,
2012-11-28,18558,3619.86,-0.010348,0.006346,0.001,0.039126,1.852136,1.0,0.045649,-0.05,0.154353,1.0,
2012-11-29,16559,3750.579,-0.054509,0.020065,0.000333,0.05113,1.746773,0.691,0.224868,0.0,0.164621,0.812479,
2012-11-30,45523,1696.188,-0.034338,0.05887,-0.000667,0.072055,1.782397,0.626333,0.37037,0.035714,0.58438,0.777851,
2012-12-03,52600,1876.038,0.038441,0.059705,0.002001,0.044099,1.880162,0.219,0.350515,0.064516,0.483822,0.37014,
2012-12-04,55061,736.779,-0.009883,0.056432,-0.000667,0.070201,1.258206,0.757,0.618919,0.166667,1.216669,0.754814,
2012-12-05,48576,1459.372,0.035789,0.032795,-0.001,0.059247,1.950266,0.589,0.41998,0.083333,0.52237,0.591896,
2012-12-06,19814,2874.137,-0.019034,0.027782,0.000667,0.031539,1.685284,0.985667,0.151246,-0.021277,0.306115,1.0,
2012-12-07,43296,891.972,-0.005031,0.090825,-0.001334,0.054113,1.373899,0.030667,0.550107,0.142857,1.303317,0.102378,
2012-12-10,13408,5824.605,-0.039648,0.05137,-0.000333,0.043944,2.167463,0.145,0.259965,0.041667,0.171592,0.18721,
2012-12-11,39264,2437.239,-0.018081,0.068281,-0.000667,0.031702,1.72521,0.620333,0.536545,0.05,0.265528,0.670209,
2012-12-12,12583,5446.776,-0.028217,0.045901,-0.000667,0.026264,1.878346,0.218667,0.222101,0.022222,0.137405,0.246005,
2012-12-13,48852,2227.268,-0.048007,0.044172,-0.000667,0.057708,1.680073,1.0,0.275401,0.0,0.405216,1.0,
2012-12-14,45536,1567.425,-0.004899,0.036283,0.001,0.035804,1.971738,0.516,0.296421,0.0,0.461811,0.737294,
2012-12-17,22350,3190.198,-0.067028,0.026221,0.001334,0.036168,2.010071,1.0,0.145242,0.018868,0.30583,1.0,
2012-12-19,38602,2684.358,-0.079365,0.077844,0.000667,0.034704,1.687437,0.257667,0.404232,-0.090909,0.288547,0.28543,
2012-12-20,43386,1725.98,-0.066423,0.041291,-0.002334,0.041485,1.882066,0.137,0.304825,0.0,0.511021,0.210945,
2013-01-02,10497,7339.083,0.042361,0.044971,0.000333,0.044501,1.950995,0.774333,0.20114,0.02459,0.224209,0.809052,
2013-01-04,31651,2196.748,-0.0518,0.070971,0.0,0.049801,2.03406,0.886667,0.341481,0.027778,0.504931,0.950329,
2013-01-07,28416,2804.312,-0.045861,0.039499,0.001334,0.037816,1.821729,0.179333,0.309375,0.108696,0.280442,0.179716,
2013-01-09,16635,2861.811,-0.041818,0.081422,0.000333,0.043996,1.926927,0.205,0.467985,0.106383,0.341629,0.225774,
2013-01-10,13652,4508.348,-0.054319,0.087593,0.001,0.03078,1.816193,0.479333,0.429171,0.04,0.265669,0.507075,
2013-01-11,44237,1246.551,-0.03785,0.089019,0.000333,0.063334,1.502034,0.192,0.776896,0.45,0.782413,0.367394,
2013-01-15,19243,3461.937,-0.009862,0.084953,-0.001,0.040053,1.849662,0.474667,0.38065,0.035088,0.335457,0.549917,
2013-01-16,16589,4597.248,0.007735,0.042489,-0.000333,0.038626,1.547964,0.098667,0.216927,0.0,0.248193,0.125615,
2013-01-17,15324,4517.192,-0.017261,0.035189,0.0,0.034025,1.642503,0.327,0.275105,0.026667,0.172031,0.402249,
2013-01-18,13928,5208.203,0.006701,0.035232,0.001,0.036366,1.507398,0.621,0.216749,0.0,0.231768,0.655161,
2013-01-22,59405,1755.927,0.034126,0.017601,0.000333,0.09731,1.372375,0.113667,0.405433,0.068966,0.52223,0.24094,
2013-01-24,31072,2235.337,0.0024,0.057527,-0.001667,0.045072,1.523582,0.660333,0.474877,0.027027,0.375726,0.675333,
2013-01-25,46513,1801.929,0.006316,0.033645,-0.001,0.053353,1.455145,0.233,0.281712,-0.033333,0.580841,0.363197,
2013-01-28,22907,2019.927,-0.004474,0.004186,0.000333,0.051124,1.511005,0.322,0.063604,0.0,0.3182,0.453171,
2013-01-30,12075,4717.453,0.029336,0.013681,-0.000333,0.039909,1.866534,0.970333,0.156206,0.025641,0.131943,1.0,
