# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2016-10-07,1,2.3204,2.4559,6,EXTENDED,EXTENDED
2016-10-10,,,,,,
2016-10-11,1,1.8341,1.8428,2,MID,MID
2016-10-12,1,0.9169,0.9318,2,FRESH,FRESH
2016-10-13,,,,,,
2016-10-14,1,0.4309,0.8883,10,FRESH,FRESH
2016-10-17,,,,,,
2016-10-18,1,0.0135,0.0169,1,FRESH,FRESH
2016-10-19,1,2.0743,2.1139,1,EXTENDED,EXTENDED
2016-10-20,1,0.8792,0.8958,4,FRESH,FRESH
2016-10-21,,,,,,
2016-10-24,,,,,,
2016-10-25,,,,,,
2016-10-26,,,,,,
2016-10-27,,,,,,
2016-10-28,,,,,,
2016-10-31,,,,,,
2016-11-01,-1,,,0,UNDEF,UNDEF
2016-11-02,-1,,,0,UNDEF,UNDEF
2016-11-03,,,,,,
2016-11-04,1,0.7463,0.9620,3,FRESH,FRESH
2016-11-07,1,-0.2485,-0.1956,1,FRESH,FRESH
2016-11-08,1,1.8817,1.8935,2,MID,MID
2016-11-09,,,,,,
2016-11-10,1,1.3944,1.4083,2,MID,MID
2016-11-11,1,0.6774,0.7999,3,FRESH,FRESH
2016-11-14,1,0.6979,0.7566,4,FRESH,FRESH
2016-11-15,1,0.5308,0.5978,4,FRESH,FRESH
2016-11-16,1,0.5927,0.6321,1,FRESH,FRESH
2016-11-17,1,2.3124,2.3449,4,EXTENDED,EXTENDED
2016-11-18,-1,,,0,UNDEF,UNDEF
2016-11-21,,,,,,
2016-11-22,,,,,,
2016-11-23,-1,,,0,UNDEF,UNDEF
2016-11-24,1,0.3639,0.4444,1,FRESH,FRESH
2016-11-25,,,,,,
2016-11-28,,,,,,
2016-11-29,,,,,,
2016-11-30,-1,,,0,UNDEF,UNDEF
2016-12-01,,,,,,
2016-12-02,1,0.5702,0.6170,1,FRESH,FRESH
2016-12-05,,,,,,
2016-12-06,,,,,,
2016-12-07,,,,,,
2016-12-08,,,,,,
2016-12-09,1,1.3996,1.4369,2,MID,MID
2016-12-12,1,1.3748,1.3765,1,MID,MID
2016-12-13,-1,,,0,UNDEF,UNDEF
2016-12-14,,,,,,
2016-12-15,1,0.6874,0.7391,1,FRESH,FRESH
2016-12-16,,,,,,
2016-12-19,1,0.0000,0.0448,4,FRESH,FRESH
2016-12-20,,,,,,
2016-12-21,,,,,,
2016-12-22,-1,,,0,UNDEF,UNDEF
2016-12-23,,,,,,
2016-12-27,-1,,,0,UNDEF,UNDEF
2016-12-28,-1,,,0,UNDEF,UNDEF
2016-12-29,-1,,,0,UNDEF,UNDEF
2016-12-30,,,,,,
2017-01-03,,,,,,
2017-01-04,-1,,,0,UNDEF,UNDEF
2017-01-05,-1,,,0,UNDEF,UNDEF
2017-01-06,,,,,,
2017-01-09,1,0.4404,0.4545,1,FRESH,FRESH
2017-01-10,-1,,,0,UNDEF,UNDEF
2017-01-11,-1,,,0,UNDEF,UNDEF
2017-01-12,,,,,,
2017-01-17,,,,,,
2017-01-19,1,0.7674,0.8292,2,FRESH,FRESH
2017-01-20,-1,,,0,UNDEF,UNDEF
2017-01-23,,,,,,
2017-01-24,,,,,,
2017-01-25,-1,,,0,UNDEF,UNDEF
2017-01-26,-1,,,0,UNDEF,UNDEF
2017-01-27,-1,,,0,UNDEF,UNDEF
2017-01-30,1,0.0000,0.0690,1,FRESH,FRESH
2017-01-31,1,0.6839,0.6860,2,FRESH,FRESH
2017-02-01,,,,,,
2017-02-02,1,0.2127,0.2534,2,FRESH,FRESH
2017-02-03,1,0.3151,0.3322,4,FRESH,FRESH
2017-02-06,1,0.3350,0.3504,2,FRESH,FRESH
2017-02-07,1,2.8305,2.8575,8,EXTENDED,EXTENDED
2017-02-08,1,1.2926,1.3074,2,MID,MID
2017-02-09,1,0.5531,0.7095,2,FRESH,FRESH
2017-02-10,-1,,,0,UNDEF,UNDEF
2017-02-13,,,,,,
2017-02-14,1,0.0000,0.0596,5,FRESH,FRESH
2017-02-15,-1,,,0,UNDEF,UNDEF
2017-02-16,1,1.1581,1.1966,2,MID,MID
2017-02-17,1,0.9756,1.2341,4,FRESH,MID
2017-02-20,,,,,,
2017-02-21,1,0.0000,0.0710,1,FRESH,FRESH
2017-02-22,-1,,,0,UNDEF,UNDEF
2017-02-23,1,0.9965,1.0140,1,FRESH,MID
2017-02-24,-1,,,0,UNDEF,UNDEF
2017-02-27,1,1.3493,1.5072,6,MID,MID
2017-02-28,-1,,,0,UNDEF,UNDEF
2017-03-01,1,0.9524,0.9940,2,FRESH,FRESH
2017-03-02,-1,,,0,UNDEF,UNDEF
