# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2018-05-11,POKED|SPENT,0.18,0.18,0,0.7200,1
2018-05-15,FO,18.32,-1.25,1,-1.0100,1
2018-05-16,CLEAN|SPENT,-1.13,-1.38,1,-1.1600,0
2018-05-17,CLEAN|FRESH,-2.17,-2.17,0,0.0100,0
2018-05-18,POKED|FRESH,-3.3,-3.3,0,0.4600,0
2018-05-21,FO,0.98,0.98,0,1.2900,1
2018-05-22,FO,-4.6,-1.19,1,-0.9700,0
2018-05-23,CLEAN|SPENT,-4.66,-4.66,0,1.2300,0
2018-05-24,FO,-3.04,-2.13,1,-2.1300,0
2018-05-25,POKED|FRESH,-2.22,-1.05,1,-1.0500,0
2018-05-29,CLEAN|FRESH,-4.55,-0.73,1,-0.5400,0
2018-05-31,FO,-3.7,-3.7,0,0.5400,0
2018-06-01,POKED|FRESH,4.84,4.84,0,2.8000,1
2018-06-04,FO,-3.97,-3.97,,,0
2018-06-05,CLEAN|FRESH,-2.14,-0.39,1,-0.1600,0
2018-06-06,POKED|FRESH,-2.13,-2.13,0,0.2500,0
2018-06-07,FO,1.5,-1.17,1,-1.1700,1
2018-06-13,FO,0.66,-1.25,1,-1.0200,1
2018-06-19,POKED|FRESH,0.22,0.22,0,3.8500,1
2018-06-20,POKED|FRESH,-3.48,-3.48,0,0.5000,0
2018-06-21,FO,-5.49,-0.58,1,-0.3900,0
2018-06-26,FO,3.31,-1.25,1,-0.9800,1
2018-06-27,CLEAN|SPENT,1.18,-0.99,1,-0.7700,0
2018-06-28,FO,0.16,0.16,0,0.0200,1
2018-07-02,FO,9.32,9.32,0,1.9100,1
2018-07-04,FO,-4.17,-1.72,1,-1.7200,0
2018-07-05,POKED|SPENT,-3.55,-0.94,1,-0.9400,0
2018-07-09,FO,1.37,-0.33,1,-0.3300,1
2018-07-11,CLEAN|FRESH,6.17,-1.99,1,-1.7900,0
2018-07-13,FO,3.71,-1.25,1,-1.0200,1
2018-07-16,POKED|SPENT,-1.03,-1.51,1,-1.3200,0
2018-07-17,CLEAN|SPENT,8.4,8.4,0,4.8400,1
2018-07-18,POKED|FRESH,1.26,1.26,0,0.1300,1
2018-07-19,FO,6.3,-0.65,1,-0.4400,1
